Index,Instance,Min-Min Heuristic,Max-Min Heuristic,Random Population,Min-Min Population,Max-Min Population,Both
0,u_c_hihi,8460675.003243,12385671.828125,17035743.489258,8262591.609375,12385671.828125,8240000.642067
1,u_c_hilo,161805.433952,204054.588654,204226.086121,158439.244537,204054.588654,159355.705311
2,u_c_lohi,275837.356047,392566.686097,554472.557006,264445.680545,392566.686097,266356.142456
3,u_c_lolo,5441.428197,6945.362459,6915.858719,5376.07203,6945.362459,5366.8711
4,u_i_hihi,3513919.28125,8018378.071778,19605739.220703,3340485.743896,8018378.071778,3392153.966553
5,u_i_hilo,80755.679221,151923.834853,230259.260238,78105.161081,151923.834853,78641.426506
6,u_i_lohi,120517.708863,251528.847642,611730.158449,114910.352264,251528.847642,116200.80654
7,u_i_lolo,2785.645486,5177.70924,7378.604059,2726.026602,5177.70924,2691.301
8,u_s_hihi,5160342.819094,9208811.495116,16550234.105469,4744354.225581,9208811.495116,4764940.465577
9,u_s_hilo,104375.164308,172822.698182,212918.510861,101728.699067,172604.222257,101277.965927
10,u_s_lohi,140284.488951,282085.731325,540031.294844,134977.373057,282085.731325,136507.131347
11,u_s_lolo,3806.827656,6232.241713,7699.189207,3702.223609,6232.241713,3670.237792
